python2-pyopenssl 21.0.0-1
python2-pyparsing 2.4.7-3
python2-requests 2.26.0-1
python2-resolvelib 0.5.5-1
python2-retrying 1.3.3-9
python2-scandir 1.10.0-3
python2-setuptools 2:44.1.1-1
python2-six 1.16.0-1
python2-toml 0.10.2-3
python2-typing 3.10.0.0-1
python2-urllib3 1.26.7-1
python2-virtualenv 20.8.0-1
python2-webencodings 0.5.1-6
python2-wheel 0.37.0-1
python2-zipp 1:1.1.1-1
qt5-3d 5.15.2+kde+r33-1
qt5-base 5.15.2+kde+r251-1
qt5-charts 5.15.2-1
qt5-declarative 5.15.2+kde+r36-1
qt5-multimedia 5.15.2-1
